code,dt
SH600000,2018-10-25
SH600008,2018-10-25
SH600009,2018-10-25
SH600010,2018-10-25
SH600011,2018-10-25
SH600015,2018-10-25
SH600016,2018-10-25
SH600018,2018-10-25
SH600019,2018-10-25
SH600023,2018-10-25
SH600025,2018-10-25
SH600028,2018-10-25
SH600029,2018-10-25
SH600031,2018-10-25
SH600036,2018-10-25
SH600038,2018-10-25
SH600048,2018-10-25
SH600050,2018-10-25
SH600066,2018-10-25
SH600085,2018-10-25
SH600089,2018-10-25
SH600100,2018-10-25
SH600104,2018-10-25
SH600111,2018-10-25
SH600115,2018-10-25
SH600118,2018-10-25
SH600153,2018-10-25
SH600170,2018-10-25
SH600176,2018-10-25
SH600177,2018-10-25
SH600188,2018-10-25
SH600196,2018-10-25
SH600208,2018-10-25
SH600221,2018-10-25
SH600233,2018-10-25
SH600271,2018-10-25
SH600276,2018-10-25
SH600297,2018-10-25
SH600332,2018-10-25
SH600340,2018-10-25
SH600346,2018-10-25
SH600352,2018-10-25
SH600362,2018-10-25
SH600372,2018-10-25
SH600373,2018-10-25
SH600376,2018-10-25
SH600390,2018-10-25
SH600398,2018-10-25
SH600406,2018-10-25
SH600415,2018-10-25
SH600436,2018-10-25
SH600438,2018-10-25
SH600482,2018-10-25
SH600487,2018-10-25
SH600489,2018-10-25
SH600498,2018-10-25
SH600515,2018-10-25
SH600516,2018-10-25
SH600522,2018-10-25
SH600535,2018-10-25
SH600547,2018-10-25
SH600549,2018-10-25
SH600570,2018-10-25
SH600583,2018-10-25
SH600585,2018-10-25
SH600588,2018-10-25
SH600606,2018-10-25
SH600637,2018-10-25
SH600660,2018-10-25
SH600663,2018-10-25
SH600674,2018-10-25
SH600682,2018-10-25
SH600688,2018-10-25
SH600690,2018-10-25
SH600703,2018-10-25
SH600704,2018-10-25
SH600705,2018-10-25
SH600739,2018-10-25
SH600741,2018-10-25
SH600795,2018-10-25
SH600809,2018-10-25
SH600820,2018-10-25
SH600875,2018-10-25
SH600886,2018-10-25
SH600887,2018-10-25
SH600893,2018-10-25
SH600900,2018-10-25
SH600919,2018-10-25
SH600926,2018-10-25
SH600959,2018-10-25
SH600977,2018-10-25
SH601006,2018-10-25
SH601009,2018-10-25
SH601012,2018-10-25
SH601018,2018-10-25
SH601021,2018-10-25
SH601088,2018-10-25
SH601111,2018-10-25
SH601117,2018-10-25
SH601155,2018-10-25
SH601166,2018-10-25
SH601169,2018-10-25
SH601186,2018-10-25
SH601212,2018-10-25
SH601225,2018-10-25
SH601228,2018-10-25
SH601229,2018-10-25
SH601238,2018-10-25
SH601288,2018-10-25
SH601318,2018-10-25
SH601328,2018-10-25
SH601333,2018-10-25
SH601336,2018-10-25
SH601360,2018-10-25
SH601390,2018-10-25
SH601398,2018-10-25
SH601600,2018-10-25
SH601601,2018-10-25
SH601607,2018-10-25
SH601618,2018-10-25
SH601628,2018-10-25
SH601633,2018-10-25
SH601668,2018-10-25
SH601669,2018-10-25
SH601699,2018-10-25
SH601718,2018-10-25
SH601727,2018-10-25
SH601766,2018-10-25
SH601800,2018-10-25
SH601808,2018-10-25
SH601818,2018-10-25
SH601828,2018-10-25
SH601838,2018-10-25
SH601857,2018-10-25
SH601866,2018-10-25
SH601872,2018-10-25
SH601877,2018-10-25
SH601888,2018-10-25
SH601898,2018-10-25
SH601899,2018-10-25
SH601919,2018-10-25
SH601933,2018-10-25
SH601939,2018-10-25
SH601958,2018-10-25
SH601985,2018-10-25
SH601988,2018-10-25
SH601989,2018-10-25
SH601991,2018-10-25
SH601992,2018-10-25
SH601997,2018-10-25
SH601998,2018-10-25
SH603160,2018-10-25
SH603260,2018-10-25
SH603288,2018-10-25
SH603799,2018-10-25
SH603833,2018-10-25
SH603858,2018-10-25
SH603993,2018-10-25
SZ000001,2018-10-25
SZ000002,2018-10-25
SZ000060,2018-10-25
SZ000063,2018-10-25
SZ000069,2018-10-25
SZ000100,2018-10-25
SZ000157,2018-10-25
SZ000166,2018-10-25
SZ000338,2018-10-25
SZ000402,2018-10-25
SZ000413,2018-10-25
SZ000415,2018-10-25
SZ000423,2018-10-25
SZ000425,2018-10-25
SZ000503,2018-10-25
SZ000559,2018-10-25
SZ000568,2018-10-25
SZ000617,2018-10-25
SZ000623,2018-10-25
SZ000625,2018-10-25
