code,dt
SH600000,2018-11-23
SH600008,2018-11-23
SH600009,2018-11-23
SH600010,2018-11-23
SH600011,2018-11-23
SH600015,2018-11-23
SH600016,2018-11-23
SH600018,2018-11-23
SH600019,2018-11-23
SH600023,2018-11-23
SH600025,2018-11-23
SH600028,2018-11-23
SH600029,2018-11-23
SH600030,2018-11-23
SH600031,2018-11-23
SH600036,2018-11-23
SH600038,2018-11-23
SH600048,2018-11-23
SH600050,2018-11-23
SH600061,2018-11-23
SH600066,2018-11-23
SH600085,2018-11-23
SH600089,2018-11-23
SH600100,2018-11-23
SH600104,2018-11-23
SH600109,2018-11-23
SH600111,2018-11-23
SH600115,2018-11-23
SH600118,2018-11-23
SH600153,2018-11-23
SH600170,2018-11-23
SH600176,2018-11-23
SH600177,2018-11-23
SH600188,2018-11-23
SH600196,2018-11-23
SH600208,2018-11-23
SH600221,2018-11-23
SH600233,2018-11-23
SH600271,2018-11-23
SH600276,2018-11-23
SH600297,2018-11-23
SH600309,2018-11-23
SH600332,2018-11-23
SH600339,2018-11-23
SH600340,2018-11-23
SH600346,2018-11-23
SH600352,2018-11-23
SH600362,2018-11-23
SH600369,2018-11-23
SH600372,2018-11-23
SH600373,2018-11-23
SH600376,2018-11-23
SH600390,2018-11-23
SH600398,2018-11-23
SH600406,2018-11-23
SH600415,2018-11-23
SH600436,2018-11-23
SH600482,2018-11-23
SH600487,2018-11-23
SH600498,2018-11-23
SH600515,2018-11-23
SH600516,2018-11-23
SH600518,2018-11-23
SH600519,2018-11-23
SH600522,2018-11-23
SH600535,2018-11-23
SH600547,2018-11-23
SH600549,2018-11-23
SH600570,2018-11-23
SH600583,2018-11-23
SH600585,2018-11-23
SH600588,2018-11-23
SH600606,2018-11-23
SH600637,2018-11-23
SH600660,2018-11-23
SH600663,2018-11-23
SH600674,2018-11-23
SH600682,2018-11-23
SH600688,2018-11-23
SH600690,2018-11-23
SH600703,2018-11-23
SH600704,2018-11-23
SH600705,2018-11-23
SH600739,2018-11-23
SH600741,2018-11-23
SH600754,2018-11-23
SH600795,2018-11-23
SH600804,2018-11-23
SH600809,2018-11-23
SH600816,2018-11-23
SH600820,2018-11-23
SH600837,2018-11-23
SH600867,2018-11-23
SH600875,2018-11-23
SH600886,2018-11-23
SH600887,2018-11-23
SH600893,2018-11-23
SH600900,2018-11-23
SH600909,2018-11-23
SH600919,2018-11-23
SH600926,2018-11-23
SH600958,2018-11-23
SH600977,2018-11-23
SH600999,2018-11-23
SH601006,2018-11-23
SH601009,2018-11-23
SH601018,2018-11-23
SH601021,2018-11-23
SH601088,2018-11-23
SH601099,2018-11-23
SH601108,2018-11-23
SH601111,2018-11-23
SH601117,2018-11-23
SH601155,2018-11-23
SH601166,2018-11-23
SH601169,2018-11-23
SH601186,2018-11-23
SH601198,2018-11-23
SH601211,2018-11-23
SH601212,2018-11-23
SH601225,2018-11-23
SH601228,2018-11-23
SH601229,2018-11-23
SH601238,2018-11-23
SH601288,2018-11-23
SH601318,2018-11-23
SH601328,2018-11-23
SH601333,2018-11-23
SH601336,2018-11-23
SH601360,2018-11-23
SH601377,2018-11-23
SH601390,2018-11-23
SH601398,2018-11-23
SH601555,2018-11-23
SH601601,2018-11-23
SH601607,2018-11-23
SH601618,2018-11-23
SH601628,2018-11-23
SH601633,2018-11-23
SH601668,2018-11-23
SH601669,2018-11-23
SH601688,2018-11-23
SH601699,2018-11-23
SH601718,2018-11-23
SH601727,2018-11-23
SH601766,2018-11-23
SH601788,2018-11-23
SH601800,2018-11-23
SH601808,2018-11-23
SH601818,2018-11-23
SH601828,2018-11-23
SH601838,2018-11-23
SH601857,2018-11-23
SH601866,2018-11-23
SH601872,2018-11-23
SH601877,2018-11-23
SH601878,2018-11-23
SH601881,2018-11-23
SH601888,2018-11-23
SH601898,2018-11-23
SH601899,2018-11-23
SH601901,2018-11-23
SH601919,2018-11-23
SH601933,2018-11-23
SH601939,2018-11-23
SH601958,2018-11-23
SH601985,2018-11-23
SH601988,2018-11-23
SH601989,2018-11-23
SH601991,2018-11-23
SH601992,2018-11-23
SH601997,2018-11-23
SH601998,2018-11-23
SH603160,2018-11-23
SH603260,2018-11-23
SH603288,2018-11-23
SH603799,2018-11-23
SH603833,2018-11-23
SH603858,2018-11-23
SH603993,2018-11-23
SZ000001,2018-11-23
SZ000002,2018-11-23
SZ000060,2018-11-23
SZ000063,2018-11-23
SZ000069,2018-11-23
SZ000100,2018-11-23
SZ000157,2018-11-23
SZ000166,2018-11-23
SZ000333,2018-11-23
SZ000338,2018-11-23
SZ000402,2018-11-23
SZ000413,2018-11-23
SZ000415,2018-11-23
SZ000423,2018-11-23
SZ000425,2018-11-23
SZ000503,2018-11-23
SZ000559,2018-11-23
SZ000568,2018-11-23
SZ000617,2018-11-23
SZ000623,2018-11-23
SZ000625,2018-11-23
SZ000627,2018-11-23
SZ000630,2018-11-23
SZ000651,2018-11-23
SZ000709,2018-11-23
SZ000723,2018-11-23
SZ000725,2018-11-23
SZ000728,2018-11-23
SZ000768,2018-11-23
SZ000776,2018-11-23
SZ000783,2018-11-23
SZ000786,2018-11-23
SZ000792,2018-11-23
SZ000826,2018-11-23
SZ000839,2018-11-23
SZ000858,2018-11-23
SZ000876,2018-11-23
SZ000895,2018-11-23
SZ000898,2018-11-23
SZ000938,2018-11-23
SZ000959,2018-11-23
SZ000961,2018-11-23
SZ000963,2018-11-23
SZ000983,2018-11-23
SZ000999,2018-11-23
SZ001965,2018-11-23
SZ001979,2018-11-23
SZ002007,2018-11-23
SZ002024,2018-11-23
SZ002027,2018-11-23
SZ002044,2018-11-23
SZ002050,2018-11-23
SZ002065,2018-11-23
SZ002074,2018-11-23
SZ002081,2018-11-23
SZ002085,2018-11-23
SZ002142,2018-11-23
SZ002146,2018-11-23
SZ002153,2018-11-23
SZ002202,2018-11-23
SZ002230,2018-11-23
SZ002236,2018-11-23
SZ002241,2018-11-23
SZ002294,2018-11-23
SZ002304,2018-11-23
SZ002310,2018-11-23
SZ002352,2018-11-23
SZ002415,2018-11-23
SZ002456,2018-11-23
SZ002460,2018-11-23
SZ002466,2018-11-23
SZ002468,2018-11-23
SZ002470,2018-11-23
SZ002475,2018-11-23
SZ002493,2018-11-23
SZ002500,2018-11-23
SZ002508,2018-11-23
SZ002555,2018-11-23
SZ002572,2018-11-23
SZ002594,2018-11-23
SZ002601,2018-11-23
SZ002603,2018-11-23
SZ002608,2018-11-23
SZ002624,2018-11-23
SZ002625,2018-11-23
SZ002673,2018-11-23
SZ002714,2018-11-23
SZ002736,2018-11-23
SZ002797,2018-11-23
SZ002925,2018-11-23
SZ300003,2018-11-23
SZ300015,2018-11-23
SZ300017,2018-11-23
SZ300024,2018-11-23
SZ300027,2018-11-23
SZ300033,2018-11-23
SZ300059,2018-11-23
SZ300070,2018-11-23
SZ300072,2018-11-23
SZ300122,2018-11-23
SZ300124,2018-11-23
SZ300136,2018-11-23
SZ300144,2018-11-23
SZ300251,2018-11-23
SZ300308,2018-11-23
SZ300408,2018-11-23
SZ300433,2018-11-23
