code,dt
SH600000,2018-03-13
SH600008,2018-03-13
SH600009,2018-03-13
SH600010,2018-03-13
SH600011,2018-03-13
SH600015,2018-03-13
SH600016,2018-03-13
SH600018,2018-03-13
SH600019,2018-03-13
SH600021,2018-03-13
SH600023,2018-03-13
SH600028,2018-03-13
SH600029,2018-03-13
SH600030,2018-03-13
SH600031,2018-03-13
SH600036,2018-03-13
SH600038,2018-03-13
SH600048,2018-03-13
SH600050,2018-03-13
SH600061,2018-03-13
SH600066,2018-03-13
SH600085,2018-03-13
SH600089,2018-03-13
SH600100,2018-03-13
SH600104,2018-03-13
SH600109,2018-03-13
SH600111,2018-03-13
SH600115,2018-03-13
SH600118,2018-03-13
SH600153,2018-03-13
SH600170,2018-03-13
SH600177,2018-03-13
SH600188,2018-03-13
SH600196,2018-03-13
SH600208,2018-03-13
SH600219,2018-03-13
SH600233,2018-03-13
SH600271,2018-03-13
SH600276,2018-03-13
SH600297,2018-03-13
SH600332,2018-03-13
SH600340,2018-03-13
SH600352,2018-03-13
SH600362,2018-03-13
SH600369,2018-03-13
SH600372,2018-03-13
SH600373,2018-03-13
SH600376,2018-03-13
SH600390,2018-03-13
SH600406,2018-03-13
SH600415,2018-03-13
SH600436,2018-03-13
SH600482,2018-03-13
SH600489,2018-03-13
SH600498,2018-03-13
SH600518,2018-03-13
SH600519,2018-03-13
SH600522,2018-03-13
SH600535,2018-03-13
SH600547,2018-03-13
SH600549,2018-03-13
SH600583,2018-03-13
SH600585,2018-03-13
SH600606,2018-03-13
SH600637,2018-03-13
SH600649,2018-03-13
SH600660,2018-03-13
SH600663,2018-03-13
SH600674,2018-03-13
SH600688,2018-03-13
SH600690,2018-03-13
SH600703,2018-03-13
SH600704,2018-03-13
SH600705,2018-03-13
SH600732,2018-03-13
SH600739,2018-03-13
SH600741,2018-03-13
SH600754,2018-03-13
SH600795,2018-03-13
SH600816,2018-03-13
SH600820,2018-03-13
SH600827,2018-03-13
SH600837,2018-03-13
SH600886,2018-03-13
SH600887,2018-03-13
SH600893,2018-03-13
SH600895,2018-03-13
SH600900,2018-03-13
SH600909,2018-03-13
SH600919,2018-03-13
SH600926,2018-03-13
SH600958,2018-03-13
SH600977,2018-03-13
SH600999,2018-03-13
SH601006,2018-03-13
SH601009,2018-03-13
SH601012,2018-03-13
SH601018,2018-03-13
SH601021,2018-03-13
SH601088,2018-03-13
SH601099,2018-03-13
SH601111,2018-03-13
SH601117,2018-03-13
SH601118,2018-03-13
SH601163,2018-03-13
SH601166,2018-03-13
SH601169,2018-03-13
SH601186,2018-03-13
SH601198,2018-03-13
SH601211,2018-03-13
SH601212,2018-03-13
SH601225,2018-03-13
SH601228,2018-03-13
SH601229,2018-03-13
SH601288,2018-03-13
SH601318,2018-03-13
SH601328,2018-03-13
SH601333,2018-03-13
SH601336,2018-03-13
SH601375,2018-03-13
SH601377,2018-03-13
SH601390,2018-03-13
SH601398,2018-03-13
SH601555,2018-03-13
SH601601,2018-03-13
SH601607,2018-03-13
SH601608,2018-03-13
SH601611,2018-03-13
SH601618,2018-03-13
SH601628,2018-03-13
SH601633,2018-03-13
SH601668,2018-03-13
SH601669,2018-03-13
SH601688,2018-03-13
SH601699,2018-03-13
SH601718,2018-03-13
SH601727,2018-03-13
SH601766,2018-03-13
SH601788,2018-03-13
SH601800,2018-03-13
SH601818,2018-03-13
SH601857,2018-03-13
SH601866,2018-03-13
SH601872,2018-03-13
SH601877,2018-03-13
SH601878,2018-03-13
SH601881,2018-03-13
SH601888,2018-03-13
SH601898,2018-03-13
SH601899,2018-03-13
SH601901,2018-03-13
SH601919,2018-03-13
SH601933,2018-03-13
SH601939,2018-03-13
SH601958,2018-03-13
SH601966,2018-03-13
SH601985,2018-03-13
SH601988,2018-03-13
SH601989,2018-03-13
SH601991,2018-03-13
SH601992,2018-03-13
SH601997,2018-03-13
SH601998,2018-03-13
SH603160,2018-03-13
SH603833,2018-03-13
SH603858,2018-03-13
SZ000001,2018-03-13
SZ000002,2018-03-13
SZ000008,2018-03-13
SZ000060,2018-03-13
SZ000063,2018-03-13
SZ000069,2018-03-13
SZ000100,2018-03-13
SZ000157,2018-03-13
SZ000166,2018-03-13
SZ000333,2018-03-13
SZ000338,2018-03-13
SZ000402,2018-03-13
SZ000413,2018-03-13
SZ000423,2018-03-13
SZ000425,2018-03-13
SZ000538,2018-03-13
SZ000559,2018-03-13
SZ000568,2018-03-13
SZ000617,2018-03-13
SZ000623,2018-03-13
SZ000625,2018-03-13
SZ000627,2018-03-13
SZ000630,2018-03-13
SZ000651,2018-03-13
SZ000686,2018-03-13
SZ000709,2018-03-13
SZ000725,2018-03-13
SZ000728,2018-03-13
SZ000738,2018-03-13
