code,dt
SH600000,2018-06-27
SH600008,2018-06-27
SH600009,2018-06-27
SH600010,2018-06-27
SH600011,2018-06-27
SH600015,2018-06-27
SH600016,2018-06-27
SH600018,2018-06-27
SH600019,2018-06-27
SH600023,2018-06-27
SH600028,2018-06-27
SH600029,2018-06-27
SH600030,2018-06-27
SH600031,2018-06-27
SH600036,2018-06-27
SH600038,2018-06-27
SH600048,2018-06-27
SH600050,2018-06-27
SH600061,2018-06-27
SH600066,2018-06-27
SH600085,2018-06-27
SH600089,2018-06-27
SH600100,2018-06-27
SH600104,2018-06-27
SH600109,2018-06-27
SH600111,2018-06-27
SH600115,2018-06-27
SH600118,2018-06-27
SH600153,2018-06-27
SH600157,2018-06-27
SH600170,2018-06-27
SH600177,2018-06-27
SH600188,2018-06-27
SH600196,2018-06-27
SH600208,2018-06-27
SH600219,2018-06-27
SH600233,2018-06-27
SH600271,2018-06-27
SH600276,2018-06-27
SH600297,2018-06-27
SH600332,2018-06-27
SH600340,2018-06-27
SH600352,2018-06-27
SH600362,2018-06-27
SH600369,2018-06-27
SH600373,2018-06-27
SH600376,2018-06-27
SH600390,2018-06-27
SH600406,2018-06-27
SH600415,2018-06-27
SH600436,2018-06-27
SH600482,2018-06-27
SH600489,2018-06-27
SH600498,2018-06-27
SH600518,2018-06-27
SH600519,2018-06-27
SH600522,2018-06-27
SH600535,2018-06-27
SH600547,2018-06-27
SH600549,2018-06-27
SH600570,2018-06-27
SH600583,2018-06-27
SH600585,2018-06-27
SH600588,2018-06-27
SH600606,2018-06-27
SH600637,2018-06-27
SH600660,2018-06-27
SH600663,2018-06-27
SH600674,2018-06-27
SH600688,2018-06-27
SH600690,2018-06-27
SH600703,2018-06-27
SH600704,2018-06-27
SH600705,2018-06-27
SH600732,2018-06-27
SH600739,2018-06-27
SH600741,2018-06-27
SH600754,2018-06-27
SH600795,2018-06-27
SH600804,2018-06-27
SH600816,2018-06-27
SH600820,2018-06-27
SH600837,2018-06-27
SH600875,2018-06-27
SH600886,2018-06-27
SH600887,2018-06-27
SH600893,2018-06-27
SH600900,2018-06-27
SH600909,2018-06-27
SH600919,2018-06-27
SH600926,2018-06-27
SH600958,2018-06-27
SH600959,2018-06-27
SH600977,2018-06-27
SH600999,2018-06-27
SH601006,2018-06-27
SH601009,2018-06-27
SH601018,2018-06-27
SH601021,2018-06-27
SH601088,2018-06-27
SH601099,2018-06-27
SH601111,2018-06-27
SH601117,2018-06-27
SH601155,2018-06-27
SH601166,2018-06-27
SH601169,2018-06-27
SH601186,2018-06-27
SH601198,2018-06-27
SH601211,2018-06-27
SH601212,2018-06-27
SH601225,2018-06-27
SH601228,2018-06-27
SH601229,2018-06-27
SH601288,2018-06-27
SH601318,2018-06-27
SH601328,2018-06-27
SH601333,2018-06-27
SH601336,2018-06-27
SH601377,2018-06-27
SH601398,2018-06-27
SH601555,2018-06-27
SH601600,2018-06-27
